username,market_influence_score,Followers,account_avg_likes,total_posts_count,engagement_rate_60d,New Post Avg. Likes,Total Likes
dior,85.0,41800000.0,86600.0,9900.0,0.001,54100.0,854900000.0
cznburak,80.0,41400000.0,837900.0,1800.0,0.011,411100.0,1500000000.0
ranveersingh,85.0,41400000.0,986900.0,1800.0,0.016,641000.0,1800000000.0
marinaruybarbosa,81.0,41100000.0,582500.0,2100.0,0.002,69400.0,1200000000.0
jenniferaniston,85.0,40800000.0,4300000.0,104.0,0.024,949100.0,446500000.0
ruben_onsu,75.0,40700000.0,135800.0,10000.0,0.001,35900.0,1400000000.0
liverpoolfc,75.0,40600000.0,339700.0,9900.0,0.005,204400.0,3400000000.0
teddysphotos,80.0,40600000.0,710700.0,2300.0,0.005,185500.0,1700000000.0
princessyahrini,81.0,40500000.0,118600.0,4500.0,0.004,181000.0,535500000.0
andresiniesta8,85.0,40300000.0,250800.0,2000.0,0.004,161700.0,508800000.0
addisonraee,85.0,39800000.0,3100000.0,328.0,0.022,851500.0,1000000000.0
natashawilona12,84.0,39700000.0,483600.0,1200.0,0.005,175300.0,568200000.0
mahi7781,58.0,39500000.0,4099999.9999999995,107.0,0.002,0.0,444000000.0
chrissyteigen,79.0,39400000.0,623100.0,5100.0,0.004,162100.0,3200000000.0
worldstar,78.0,39200000.0,157400.0,11600.0,0.002,84400.0,1800000000.0
georginagio,74.0,39200000.0,2200000.0,751.0,0.086,3300000.0,1700000000.0
wizkhalifa,80.0,39100000.0,398700.0,514.0,0.003,115700.0,204900000.0
prattprattpratt,84.0,39000000.0,813500.0,742.0,0.01,363800.0,603600000.0
anushkasen0408,85.0,38900000.0,687300.0,5400.0,0.013,483800.0,3700000000.0
hm,83.0,38500000.0,86400.0,7400.0,0.0,17500.0,637000000.0
marvelstudios,83.0,38400000.0,594200.0,2800.0,0.016,555900.0,1700000000.0
rkive,83.0,38400000.0,10600000.0,115.0,0.171,6500000.0,1200000000.0
parineetichopra,84.0,38300000.0,504800.0,1300.0,0.011,431800.0,671900000.0
wesleysafadao,80.0,37800000.0,250900.0,8900.0,0.002,77800.0,2200000000.0
laudyacynthiabella,76.0,37300000.0,154600.0,397.0,0.001,46400.0,61400000.0
gisel_la,85.0,36800000.0,149100.0,9900.0,0.001,33400.0,1500000000.0
antogriezmann,83.0,36700000.0,1100000.0,890.0,0.005,193600.0,936600000.0
eminem,84.0,36600000.0,988400.0,691.0,0.011,382500.0,683000000.0
mercedesbenz,77.0,36200000.0,197900.0,10000.0,0.002,64599.99999999999,2000000000.0
sachintendulkar,76.0,36100000.0,800400.0,1000.0,0.02,664500.0,829200000.0
nattinatasha,47.0,36100000.0,513200.00000000006,59.0,0.006,201600.0,30300000.0
kimberly.loaiza,78.0,36000000.0,2600000.0,549.0,0.043,1500000.0,1400000000.0
shahidkapoor,82.0,36000000.0,1300000.0,1200.0,0.025,780000.0,1500000000.0
tigerjackieshroff,83.0,36000000.0,1000000.0,2100.0,0.01,345300.0,2200000000.0
blakelively,80.0,35900000.0,3100000.0,120.0,0.04,1400000.0,366100000.0
colesprouse,81.0,35800000.0,2200000.0,1200.0,0.023,834500.0,2600000000.0
simonemendes,72.0,35700000.0,419700.0,4400.0,0.006,216600.0,1900000000.0
toni.krs,83.0,35600000.0,597800.0,946.0,0.012,432500.0,565500000.0
lunamaya,83.0,35400000.0,145400.0,4100.0,0.002,58600.0,594000000.0
barackobama,81.0,35400000.0,1100000.0,682.0,0.012,411500.0,758400000.0
ivetesangalo,84.0,35100000.0,226400.0,7700.0,0.004,121100.0,1700000000.0
paollaoliveirareal,84.0,34900000.0,352000.0,4700.0,0.004,132900.0,1600000000.0
dannapaola,68.0,34800000.0,1500000.0,2000.0,0.035,1200000.0,2900000000.0
disney,77.0,34700000.0,185200.0,7500.0,0.004,132000.0,1400000000.0
shaymitchell,83.0,34500000.0,715400.0,6300.0,0.006,198700.0,4500000000.0
adidasoriginals,83.0,34100000.0,136200.0,180.0,0.002,66800.0,24500000.0
zidane,41.0,34000000.0,1000000.0,377.0,0.017,578400.0,387700000.0
bmw,79.0,33800000.0,229000.0,9400.0,0.002,83200.0,2200000000.0
iambeckyg,71.0,33800000.0,623500.0,2300.0,0.012,413300.0,1400000000.0
rashmika_mandanna,84.0,33800000.0,2300000.0,525.0,0.044,1500000.0,1200000000.0
sonamkapoor,75.0,33700000.0,265300.0,4800.0,0.008,256200.0,1300000000.0
khabib_nurmagomedov,63.0,33600000.0,680600.0,4600.0,0.009,305700.0,3100000000.0
danbilzerian,84.0,33600000.0,2200000.0,1400.0,0.064,2100000.0,3000000000.0
raisa6690,80.0,33600000.0,227800.0,4200.0,0.003,103200.0,955900000.0
luansantana,79.0,33500000.0,193300.0,865.0,0.003,82600.0,167200000.0
nancyajram,81.0,33400000.0,382500.0,3800.0,0.004,128199.99999999999,1500000000.0
